detid,lat,long
E1_D2D3_1,1101.6,919.4
E1_D3D2_0,1095.2,730.6
E1_D3D2_1,1098.4,730.6
E1_D3D4_0,1104.8,1169.4
E1_D3D4_1,1101.6,1169.4
E1_D3E3_0,1369.4,945.2
E1_D3E3_1,1369.4,948.4
E1_D4C4_0,830.5999999999999,1204.8
E1_D4C4_1,830.5999999999999,1201.6
E1_D4D3_0,1095.2,980.5999999999999
E1_D4D3_1,1098.4,980.5999999999999
E1_D4D5_0,1104.8,1419.4
E1_D4D5_1,1101.6,1419.4
E1_D4E4_0,1369.4,1195.2
E1_D4E4_1,1369.4,1198.4
E1_D5C5_0,830.5999999999999,1454.8
E1_D5C5_1,830.5999999999999,1451.6
E1_D5E5_0,1369.4,1445.2
E1_D5E5_1,1369.4,1448.4
E1_D6C6_0,830.5999999999999,1704.8
E1_D6C6_1,830.5999999999999,1701.6
E1_D6D5_0,1095.2,1480.6
E1_D6D5_1,1098.4,1480.6
E1_D6D7_0,1104.8,1919.4
E1_D6D7_1,1101.6,1919.4
E1_D6E6_0,1369.4,1695.2
E1_D6E6_1,1369.4,1698.4
E1_D7C7_0,830.5999999999999,1954.8
E1_D7C7_1,830.5999999999999,1951.6
E1_D7D6_0,1095.2,1730.6
E1_D7D6_1,1098.4,1730.6
E1_D7D8_0,1104.8,2169.4
E1_D7D8_1,1101.6,2169.4
E1_D7E7_0,1369.4,1945.2
E1_D7E7_1,1369.4,1948.4
E1_D8D7_0,1095.2,1980.6
E1_D8D7_1,1098.4,1980.6
E1_D8E8_0,1369.4,2195.2
E1_D8E8_1,1369.4,2198.4
E1_D9C9_0,830.5999999999999,2454.8
E1_D9C9_1,830.5999999999999,2451.6
E1_E0D0_0,1130.6,204.8
E1_E0D0_1,1130.6,201.6
E1_E0E1_0,1404.8,419.4
E1_E0E1_1,1401.6,419.4
E1_E0F0_0,1669.4,195.2
E1_E0F0_1,1669.4,198.4
E1_E0bottom4_0,1395.2,19.599999999999994
E1_E0bottom4_1,1398.4,19.599999999999994
E1_E10D10_0,1130.6,2704.8
E1_E10D10_1,1130.6,2701.6
E1_E10E11_0,1404.8,2919.4
E1_E10E11_1,1401.6,2919.4
E1_E10E9_0,1395.2,2480.6
E1_E10E9_1,1398.4,2480.6
E1_E10F10_0,1669.4,2695.2
E1_E10F10_1,1669.4,2698.4
E1_E11F11_0,1669.4,2945.2
E1_E11F11_1,1669.4,2948.4
E1_E11top4_0,1404.8,3130.4
E1_E11top4_1,1401.6,3130.4
E1_E1D1_0,1130.6,454.8
E1_E1D1_1,1130.6,451.6
E1_E1E0_0,1395.2,230.60000000000002
E1_E1E0_1,1398.4,230.60000000000002
E1_E1E2_0,1404.8,669.4
E1_E1E2_1,1401.6,669.4
E1_E1F1_0,1669.4,445.2
E1_E1F1_1,1669.4,448.4
E1_E2D2_0,1130.6,704.8
E1_E2D2_1,1130.6,701.6
E1_E2E1_0,1395.2,480.6
E1_E2E1_1,1398.4,480.6
E1_E2E3_0,1404.8,919.4
E1_E2E3_1,1401.6,919.4
E1_E2F2_0,1669.4,695.2
E1_E2F2_1,1669.4,698.4
E1_E3D3_0,1130.6,954.8
E1_E3D3_1,1130.6,951.6
E1_E3E2_0,1395.2,730.6
E1_E3E2_1,1398.4,730.6
E1_E3E4_0,1404.8,1169.4
E1_E3E4_1,1401.6,1169.4
E1_E3F3_0,1669.4,945.2
E1_E3F3_1,1669.4,948.4
E1_E4D4_0,1130.6,1204.8
E1_E4D4_1,1130.6,1201.6
E1_E4E5_0,1404.8,1419.4
E1_E4E5_1,1401.6,1419.4
E1_E4F4_0,1669.4,1195.2
E1_E4F4_1,1669.4,1198.4
E1_E5E4_0,1395.2,1230.6
E1_E5E4_1,1398.4,1230.6
E1_E5F5_0,1669.4,1445.2
E1_E5F5_1,1669.4,1448.4
E1_E6D6_0,1130.6,1704.8
E1_E6D6_1,1130.6,1701.6
E1_E6E7_0,1404.8,1919.4
E1_E6E7_1,1401.6,1919.4
E1_E6F6_0,1669.4,1695.2
E1_E6F6_1,1669.4,1698.4
E1_E7D7_0,1130.6,1954.8
E1_E7D7_1,1130.6,1951.6
E1_E7E6_0,1395.2,1730.6
E1_E7E6_1,1398.4,1730.6
E1_E7E8_0,1404.8,2169.4
E1_E7E8_1,1401.6,2169.4
E1_E8D8_0,1130.6,2204.8
E1_E8D8_1,1130.6,2201.6
E1_E8E7_0,1395.2,1980.6
E1_E8E7_1,1398.4,1980.6
E1_E8E9_0,1404.8,2419.4
E1_E8E9_1,1401.6,2419.4
E1_E8F8_0,1669.4,2195.2
E1_E8F8_1,1669.4,2198.4
E1_E9D9_0,1130.6,2454.8
E1_E9D9_1,1130.6,2451.6
E1_E9E10_0,1404.8,2669.4
E1_E9E10_1,1401.6,2669.4
E1_E9F9_0,1669.4,2445.2
E1_E9F9_1,1669.4,2448.4
E1_F0E0_0,1430.6,204.8
E1_F0E0_1,1430.6,201.6
E1_F0F1_0,1704.8,419.4
E1_F0F1_1,1701.6,419.4
E1_F0G0_0,1969.4,195.2
E1_F0G0_1,1969.4,198.4
E1_F0bottom5_0,1695.2,19.599999999999994
E1_F0bottom5_1,1698.4,19.599999999999994
E1_F10E10_0,1430.6,2704.8
E1_F10E10_1,1430.6,2701.6
E1_F10G10_0,1969.4,2695.2
E1_F10G10_1,1969.4,2698.4
E1_F11E11_0,1430.6,2954.8
E1_F11E11_1,1430.6,2951.6
E1_F11F10_0,1695.2,2730.6
E1_F11F10_1,1698.4,2730.6
E1_F11G11_0,1969.4,2945.2
E1_F11G11_1,1969.4,2948.4
E1_F11top5_0,1704.8,3130.4
E1_F11top5_1,1701.6,3130.4
E1_F1E1_0,1430.6,454.8
E1_F1E1_1,1430.6,451.6
E1_F1F0_0,1695.2,230.60000000000002
E1_F1F0_1,1698.4,230.60000000000002
E1_F1F2_0,1704.8,669.4
E1_F1F2_1,1701.6,669.4
E1_F1G1_0,1969.4,445.2
E1_F1G1_1,1969.4,448.4
E1_F2E2_0,1430.6,704.8
E1_F2E2_1,1430.6,701.6
E1_F2F1_0,1695.2,480.6
E1_F2F1_1,1698.4,480.6
E1_F2F3_0,1704.8,919.4
E1_F2F3_1,1701.6,919.4
E1_F2G2_0,1969.4,695.2
E1_F2G2_1,1969.4,698.4
E1_F3E3_0,1430.6,954.8
E1_F3E3_1,1430.6,951.6
E1_F3F2_0,1695.2,730.6
E1_F3F2_1,1698.4,730.6
E1_F3F4_0,1704.8,1169.4
E1_F3F4_1,1701.6,1169.4
E1_F3G3_0,1969.4,945.2
E1_F3G3_1,1969.4,948.4
E1_F4E4_0,1430.6,1204.8
E1_F4E4_1,1430.6,1201.6
E1_F4F5_0,1704.8,1419.4
E1_F4F5_1,1701.6,1419.4
E1_F4G4_0,1969.4,1195.2
E1_F4G4_1,1969.4,1198.4
E1_F5E5_0,1430.6,1454.8
E1_F5E5_1,1430.6,1451.6
E1_F5F4_0,1695.2,1230.6
E1_F5F4_1,1698.4,1230.6
E1_F5G5_0,1969.4,1445.2
E1_F5G5_1,1969.4,1448.4
E1_F6E6_0,1430.6,1704.8
E1_F6E6_1,1430.6,1701.6
E1_F6F5_0,1695.2,1480.6
E1_F6F5_1,1698.4,1480.6
E1_F6F7_0,1704.8,1919.4
E1_F6F7_1,1701.6,1919.4
E1_F6G6_0,1969.4,1695.2
E1_F6G6_1,1969.4,1698.4
E1_F7E7_0,1430.6,1954.8
E1_F7E7_1,1430.6,1951.6
E1_F7F6_0,1695.2,1730.6
E1_F7F6_1,1698.4,1730.6
E1_F7G7_0,1969.4,1945.2
E1_F7G7_1,1969.4,1948.4
E1_F8E8_0,1430.6,2204.8
E1_F8E8_1,1430.6,2201.6
E1_F8F7_0,1695.2,1980.6
E1_F8F7_1,1698.4,1980.6
E1_F8F9_0,1704.8,2419.4
E1_F8F9_1,1701.6,2419.4
E1_F8G8_0,1969.4,2195.2
E1_F8G8_1,1969.4,2198.4
E1_F9E9_0,1430.6,2454.8
E1_F9E9_1,1430.6,2451.6
E1_F9F10_0,1704.8,2669.4
E1_F9F10_1,1701.6,2669.4
E1_F9G9_0,1969.4,2445.2
E1_F9G9_1,1969.4,2448.4
E1_G0F0_0,1730.6,204.8
E1_G0F0_1,1730.6,201.6
E1_G0G1_0,2004.8,419.4
E1_G0G1_1,2001.6,419.4
E1_G0bottom6_0,1995.2,19.599999999999994
E1_G0bottom6_1,1998.4,19.599999999999994
E1_G10F10_0,1730.6,2704.8
E1_G10F10_1,1730.6,2701.6
E1_G10G11_0,2004.8,2919.4
E1_G10G11_1,2001.6,2919.4
E1_G10G9_0,1995.2,2480.6
E1_G10G9_1,1998.4,2480.6
E1_G10H10_0,2269.4,2695.2
E1_G10H10_1,2269.4,2698.4
E1_G11G10_0,1995.2,2730.6
E1_G11G10_1,1998.4,2730.6
E1_G11top6_0,2004.8,3130.4
E1_G11top6_1,2001.6,3130.4
E1_G1F1_0,1730.6,454.8
E1_G1F1_1,1730.6,451.6
E1_G1G0_0,1995.2,230.60000000000002
E1_G1G0_1,1998.4,230.60000000000002
E1_G1G2_0,2004.8,669.4
E1_G1G2_1,2001.6,669.4
E1_G1H1_0,2269.4,445.2
E1_G1H1_1,2269.4,448.4
E1_G2F2_0,1730.6,704.8
E1_G2F2_1,1730.6,701.6
E1_G2G3_0,2004.8,919.4
E1_G2G3_1,2001.6,919.4
E1_G2H2_0,2269.4,695.2
E1_G2H2_1,2269.4,698.4
E1_G3F3_0,1730.6,954.8
E1_G3F3_1,1730.6,951.6
E1_G3G4_0,2004.8,1169.4
E1_G3G4_1,2001.6,1169.4
E1_G4F4_0,1730.6,1204.8
E1_G4F4_1,1730.6,1201.6
E1_G4G3_0,1995.2,980.5999999999999
E1_G4G3_1,1998.4,980.5999999999999
E1_G4G5_0,2004.8,1419.4
E1_G4G5_1,2001.6,1419.4
E1_G4H4_0,2269.4,1195.2
E1_G4H4_1,2269.4,1198.4
E1_G5F5_0,1730.6,1454.8
E1_G5F5_1,1730.6,1451.6
E1_G5G4_0,1995.2,1230.6
E1_G5G4_1,1998.4,1230.6
E1_G5G6_0,2004.8,1669.4
E1_G5G6_1,2001.6,1669.4
E1_G5H5_0,2269.4,1445.2
E1_G5H5_1,2269.4,1448.4
E1_G6F6_0,1730.6,1704.8
E1_G6F6_1,1730.6,1701.6
E1_G6G7_0,2004.8,1919.4
E1_G6G7_1,2001.6,1919.4
E1_G6H6_0,2269.4,1695.2
E1_G6H6_1,2269.4,1698.4
E1_G7F7_0,1730.6,1954.8
E1_G7F7_1,1730.6,1951.6
E1_G7G6_0,1995.2,1730.6
E1_G7G6_1,1998.4,1730.6
E1_G7G8_0,2004.8,2169.4
E1_G7G8_1,2001.6,2169.4
E1_G7H7_0,2269.4,1945.2
E1_G7H7_1,2269.4,1948.4
E1_G8F8_0,1730.6,2204.8
E1_G8F8_1,1730.6,2201.6
E1_G8G7_0,1995.2,1980.6
E1_G8G7_1,1998.4,1980.6
E1_G8G9_0,2004.8,2419.4
E1_G8G9_1,2001.6,2419.4
E1_G8H8_0,2269.4,2195.2
E1_G8H8_1,2269.4,2198.4
E1_G9F9_0,1730.6,2454.8
E1_G9F9_1,1730.6,2451.6
E1_G9G10_0,2004.8,2669.4
E1_G9G10_1,2001.6,2669.4
E1_G9G8_0,1995.2,2230.6
E1_G9G8_1,1998.4,2230.6
E1_H0G0_0,2030.6,204.8
E1_H0G0_1,2030.6,201.6
E1_H0I0_0,2569.4,195.2
E1_H0I0_1,2569.4,198.4
E1_H0bottom7_0,2295.2,19.599999999999994
E1_H0bottom7_1,2298.4,19.599999999999994
E1_H10G10_0,2030.6,2704.8
E1_H10G10_1,2030.6,2701.6
E1_H10H11_0,2304.8,2919.4
E1_H10H11_1,2301.6,2919.4
E1_H10H9_0,2295.2,2480.6
E1_H10H9_1,2298.4,2480.6
E1_H10I10_0,2569.4,2695.2
E1_H10I10_1,2569.4,2698.4
E1_H11H10_0,2295.2,2730.6
E1_H11H10_1,2298.4,2730.6
E1_H11I11_0,2569.4,2945.2
E1_H11I11_1,2569.4,2948.4
E1_H11top7_0,2304.8,3130.4
E1_H11top7_1,2301.6,3130.4
E1_H1G1_0,2030.6,454.8
E1_H1G1_1,2030.6,451.6
E1_H1H0_0,2295.2,230.60000000000002
E1_H1H0_1,2298.4,230.60000000000002
E1_H1H2_0,2304.8,669.4
E1_H1H2_1,2301.6,669.4
E1_H2G2_0,2030.6,704.8
E1_H2G2_1,2030.6,701.6
E1_H2H1_0,2295.2,480.6
E1_H2H1_1,2298.4,480.6
E1_H2H3_0,2304.8,919.4
E1_H2H3_1,2301.6,919.4
E1_H3G3_0,2030.6,954.8
E1_H3G3_1,2030.6,951.6
E1_H3H2_0,2295.2,730.6
E1_H3H2_1,2298.4,730.6
E1_H3H4_0,2304.8,1169.4
E1_H3H4_1,2301.6,1169.4
E1_H3I3_0,2569.4,945.2
E1_H3I3_1,2569.4,948.4
E1_H4G4_0,2030.6,1204.8
E1_H4G4_1,2030.6,1201.6
E1_H4H5_0,2304.8,1419.4
E1_H4H5_1,2301.6,1419.4
E1_H5G5_0,2030.6,1454.8
E1_H5G5_1,2030.6,1451.6
E1_H5H4_0,2295.2,1230.6
E1_H5H4_1,2298.4,1230.6
E1_H5H6_0,2304.8,1669.4
E1_H5H6_1,2301.6,1669.4
E1_H6G6_0,2030.6,1704.8
E1_H6G6_1,2030.6,1701.6
E1_H6H5_0,2295.2,1480.6
E1_H6H5_1,2298.4,1480.6
E1_H6H7_0,2304.8,1919.4
E1_H6H7_1,2301.6,1919.4
E1_H6I6_0,2569.4,1695.2
E1_H6I6_1,2569.4,1698.4
E1_H7G7_0,2030.6,1954.8
E1_H7G7_1,2030.6,1951.6
E1_H7H6_0,2295.2,1730.6
E1_H7H6_1,2298.4,1730.6
E1_H7H8_0,2304.8,2169.4
E1_H7H8_1,2301.6,2169.4
E1_H8G8_0,2030.6,2204.8
E1_H8G8_1,2030.6,2201.6
E1_H8H9_0,2304.8,2419.4
E1_H8H9_1,2301.6,2419.4
E1_H8I8_0,2569.4,2195.2
E1_H8I8_1,2569.4,2198.4
E1_H9G9_0,2030.6,2454.8
E1_H9G9_1,2030.6,2451.6
E1_H9H10_0,2304.8,2669.4
E1_H9H10_1,2301.6,2669.4
E1_H9I9_0,2569.4,2445.2
E1_H9I9_1,2569.4,2448.4
E1_I0right0_0,2780.4,195.2
E1_I0right0_1,2780.4,198.4
E1_I10H10_0,2330.6,2704.8
E1_I10H10_1,2330.6,2701.6
E1_I10I11_0,2604.8,2919.4
E1_I10I11_1,2601.6,2919.4
E1_I10I9_0,2595.2,2480.6
E1_I10I9_1,2598.4,2480.6
E1_I10right10_0,2780.4,2695.2
E1_I10right10_1,2780.4,2698.4
E1_I11H11_0,2330.6,2954.8
E1_I11H11_1,2330.6,2951.6
E1_I11I10_0,2595.2,2730.6
E1_I11I10_1,2598.4,2730.6
E1_I11top8_0,2604.8,3130.4
E1_I11top8_1,2601.6,3130.4
E1_I1H1_0,2330.6,454.8
E1_I1H1_1,2330.6,451.6
E1_I1I0_0,2595.2,230.60000000000002
E1_I1I0_1,2598.4,230.60000000000002
E1_I1I2_0,2604.8,669.4
E1_I1I2_1,2601.6,669.4
E1_I1right1_0,2780.4,445.2
E1_I1right1_1,2780.4,448.4
E1_I2H2_0,2330.6,704.8
E1_I2H2_1,2330.6,701.6
E1_I2I1_0,2595.2,480.6
E1_I2I1_1,2598.4,480.6
E1_I2I3_0,2604.8,919.4
E1_I2I3_1,2601.6,919.4
E1_I2right2_0,2780.4,695.2
E1_I2right2_1,2780.4,698.4
E1_I3H3_0,2330.6,954.8
E1_I3H3_1,2330.6,951.6
E1_I3I2_0,2595.2,730.6
E1_I3I2_1,2598.4,730.6
E1_I3I4_0,2604.8,1169.4
E1_I3I4_1,2601.6,1169.4
E1_I4H4_0,2330.6,1204.8
E1_I4H4_1,2330.6,1201.6
E1_I4I3_0,2595.2,980.5999999999999
E1_I4I3_1,2598.4,980.5999999999999
E1_I4I5_0,2604.8,1419.4
E1_I4I5_1,2601.6,1419.4
E1_I5H5_0,2330.6,1454.8
E1_I5H5_1,2330.6,1451.6
E1_I5I4_0,2595.2,1230.6
E1_I5I4_1,2598.4,1230.6
E1_I5I6_0,2604.8,1669.4
E1_I5I6_1,2601.6,1669.4
E1_I5right5_0,2780.4,1445.2
E1_I5right5_1,2780.4,1448.4
E1_I6H6_0,2330.6,1704.8
E1_I6H6_1,2330.6,1701.6
E1_I6I5_0,2595.2,1480.6
E1_I6I5_1,2598.4,1480.6
E1_I6I7_0,2604.8,1919.4
E1_I6I7_1,2601.6,1919.4
E1_I6right6_0,2780.4,1695.2
E1_I6right6_1,2780.4,1698.4
E1_I7H7_0,2330.6,1954.8
E1_I7H7_1,2330.6,1951.6
E1_I8H8_0,2330.6,2204.8
E1_I8H8_1,2330.6,2201.6
E1_I8I7_0,2595.2,1980.6
E1_I8I7_1,2598.4,1980.6
E1_I8I9_0,2604.8,2419.4
E1_I8I9_1,2601.6,2419.4
E1_I9H9_0,2330.6,2454.8
E1_I9H9_1,2330.6,2451.6
E1_I9I8_0,2595.2,2230.6
E1_I9I8_1,2598.4,2230.6
E1_I9right9_0,2780.4,2445.2
E1_I9right9_1,2780.4,2448.4
E1_bottom0A0_0,204.8,170.0
E1_bottom0A0_1,201.6,170.0
E1_bottom1B0_0,504.8,170.0
E1_bottom1B0_1,501.6,170.0
E1_bottom2C0_0,804.8,170.0
E1_bottom2C0_1,801.6,170.0
E1_bottom3D0_0,1104.8,170.0
