detid,flow,speed,occ,density,interval,length,pos
E1_A3A4_1,48.0,9.93,0.77,1.54,0.0,229.2,209.0
E1_A3B3_0,24.0,11.6,0.29,0.58,0.0,279.2,259.0
E1_A3B3_1,12.0,12.11,0.14,0.28,0.0,279.2,259.0
E1_A3left3_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A3left3_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A4A3_0,36.0,12.05,0.41,0.8199999999999998,0.0,229.2,209.0
E1_A4A3_1,48.0,9.03,0.83,1.6599999999999997,0.0,229.2,209.0
E1_A4B4_0,48.0,12.55,0.54,1.08,0.0,279.2,259.0
E1_A4B4_1,72.0,9.35,1.49,2.98,0.0,279.2,259.0
E1_A4left4_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A4left4_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A5A4_0,48.0,13.08,0.51,1.02,0.0,229.2,209.0
E1_A5A4_1,60.0,12.87,0.65,1.3,0.0,229.2,209.0
E1_A5B5_0,108.0,13.23,1.14,2.28,0.0,279.2,259.0
E1_A5B5_1,12.0,11.92,0.14,0.28,0.0,279.2,259.0
E1_A5left5_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A5left5_1,24.0,12.6,0.27,0.54,0.0,189.6,170.0
E1_A6A5_0,48.0,12.4,0.54,1.08,0.0,229.2,209.0
E1_A6A5_1,60.0,12.38,0.67,1.34,0.0,229.2,209.0
E1_A6B6_0,96.0,11.93,1.19,2.38,0.0,279.2,259.0
E1_A6B6_1,12.0,12.12,0.14,0.28,0.0,279.2,259.0
E1_A6left6_0,12.0,13.97,0.12,0.24,0.0,189.6,170.0
E1_A6left6_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A7A8_0,72.0,10.44,5.83,11.66,0.0,229.2,209.0
E1_A7A8_1,24.0,15.61,0.21,0.41999999999999993,0.0,229.2,209.0
E1_A7B7_0,96.0,11.89,1.2,2.4,0.0,279.2,259.0
E1_A7B7_1,24.0,12.64,0.26,0.52,0.0,279.2,259.0
E1_A7left7_0,12.0,15.55,0.11,0.21999999999999997,0.0,189.6,170.0
E1_A7left7_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A8B8_0,84.0,12.3,0.99,1.98,0.0,279.2,259.0
E1_A8B8_1,12.0,11.74,0.15,0.3,0.0,279.2,259.0
E1_A8left8_0,12.0,15.56,0.11,0.21999999999999997,0.0,189.6,170.0
E1_A8left8_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A9B9_0,120.0,12.17,1.51,3.02,0.0,279.2,259.0
E1_A9B9_1,36.0,13.33,0.38,0.76,0.0,279.2,259.0
E1_A9left9_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_A9left9_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_B0B1_0,60.0,12.5,0.7,1.4,0.0,229.2,209.0
E1_B0B1_1,36.0,10.71,0.51,1.02,0.0,229.2,209.0
E1_B10A10_0,0.0,-1.0,0.0,-0.0,0.0,279.2,259.0
E1_B10A10_1,48.0,10.71,0.68,1.36,0.0,279.2,259.0
E1_B10B11_0,24.0,12.85,0.26,0.52,0.0,229.2,209.0
E1_B10B11_1,0.0,-1.0,0.0,-0.0,0.0,229.2,209.0
E1_B10B9_0,48.0,12.83,0.52,1.04,0.0,229.2,209.0
E1_B10B9_1,36.0,12.84,0.39,0.78,0.0,229.2,209.0
E1_B10C10_0,84.0,11.36,1.09,2.18,0.0,279.2,259.0
E1_B10C10_1,48.0,11.99,0.61,1.22,0.0,279.2,259.0
E1_B11B10_0,12.0,12.17,0.14,0.28,0.0,229.2,209.0
E1_B11B10_1,36.0,14.21,0.36,0.72,0.0,229.2,209.0
E1_B11top1_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_B11top1_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_B1A1_0,84.0,11.81,1.05,2.1,0.0,279.2,259.0
E1_B1A1_1,12.0,13.83,0.12,0.24,0.0,279.2,259.0
E1_B1B0_0,0.0,-1.0,0.0,-0.0,0.0,229.2,209.0
E1_B1B0_1,24.0,13.06,0.26,0.52,0.0,229.2,209.0
E1_B1B2_0,156.0,12.6,3.11,6.22,0.0,229.2,209.0
E1_B1B2_1,24.0,12.77,0.26,0.52,0.0,229.2,209.0
E1_B2A2_0,36.0,13.56,0.45,0.8999999999999999,0.0,279.2,259.0
E1_B2A2_1,12.0,12.18,0.14,0.28,0.0,279.2,259.0
E1_B2B1_0,48.0,13.94,0.48,0.96,0.0,229.2,209.0
E1_B2B1_1,48.0,11.12,0.67,1.34,0.0,229.2,209.0
E1_B2B3_0,108.0,11.67,4.85,9.7,0.0,229.2,209.0
E1_B2B3_1,36.0,12.81,0.4,0.8,0.0,229.2,209.0
E1_B2C2_0,60.0,12.92,0.65,1.3,0.0,279.2,259.0
E1_B2C2_1,108.0,11.9,1.39,2.78,0.0,279.2,259.0
E1_B3A3_0,48.0,13.07,0.51,1.02,0.0,279.2,259.0
E1_B3A3_1,24.0,13.36,0.25,0.5,0.0,279.2,259.0
E1_B3B2_0,36.0,12.89,0.39,0.78,0.0,229.2,209.0
E1_B3B2_1,84.0,11.84,1.06,2.12,0.0,229.2,209.0
E1_B3B4_0,120.0,11.61,1.59,3.18,0.0,229.2,209.0
E1_B3B4_1,48.0,12.72,0.53,1.06,0.0,229.2,209.0
E1_B3C3_0,36.0,12.51,0.4,0.8,0.0,279.2,259.0
E1_B3C3_1,0.0,-1.0,0.0,-0.0,0.0,279.2,259.0
E1_B4B3_0,36.0,10.16,0.55,1.1,0.0,229.2,209.0
E1_B4B3_1,72.0,12.6,0.8,1.6,0.0,229.2,209.0
E1_B4B5_0,144.0,10.97,2.02,4.04,0.0,229.2,209.0
E1_B4B5_1,48.0,12.37,0.54,1.08,0.0,229.2,209.0
E1_B4C4_0,120.0,9.76,2.98,5.96,0.0,279.2,259.0
E1_B4C4_1,108.0,11.81,1.34,2.68,0.0,279.2,259.0
E1_B5A5_0,0.0,-1.0,0.0,-0.0,0.0,279.2,259.0
E1_B5A5_1,36.0,13.62,0.37,0.74,0.0,279.2,259.0
E1_B5B4_0,84.0,12.84,0.91,1.8199999999999998,0.0,229.2,209.0
E1_B5B4_1,108.0,11.22,1.42,2.84,0.0,229.2,209.0
E1_B5B6_0,132.0,12.05,1.7,3.3999999999999995,0.0,229.2,209.0
E1_B5B6_1,60.0,11.3,0.81,1.62,0.0,229.2,209.0
E1_B5C5_0,108.0,10.65,2.9,5.8,0.0,279.2,259.0
E1_B5C5_1,48.0,10.63,0.69,1.38,0.0,279.2,259.0
E1_B6A6_0,24.0,12.98,0.26,0.52,0.0,279.2,259.0
E1_B6A6_1,12.0,14.08,0.12,0.24,0.0,279.2,259.0
E1_B6B5_0,84.0,12.69,0.92,1.8399999999999999,0.0,229.2,209.0
E1_B6B5_1,96.0,11.62,1.3,2.6,0.0,229.2,209.0
E1_B6B7_0,144.0,11.51,1.88,3.76,0.0,229.2,209.0
E1_B6B7_1,48.0,13.74,0.49,0.98,0.0,229.2,209.0
E1_B6C6_0,120.0,12.63,1.41,2.82,0.0,279.2,259.0
E1_B6C6_1,24.0,12.99,0.26,0.52,0.0,279.2,259.0
E1_B7A7_0,48.0,10.36,0.7,1.4,0.0,279.2,259.0
E1_B7A7_1,72.0,9.77,1.14,2.28,0.0,279.2,259.0
E1_B7B6_0,108.0,12.4,1.26,2.52,0.0,229.2,209.0
E1_B7B6_1,36.0,12.56,0.4,0.8,0.0,229.2,209.0
E1_B8B7_0,84.0,13.56,0.87,1.7399999999999998,0.0,229.2,209.0
E1_B8B7_1,36.0,10.07,0.55,1.1,0.0,229.2,209.0
E1_B8B9_0,144.0,11.89,7.13,14.26,0.0,229.2,209.0
E1_B8B9_1,12.0,12.14,0.14,0.28,0.0,229.2,209.0
E1_B8C8_0,156.0,11.04,2.2,4.4,0.0,279.2,259.0
E1_B8C8_1,60.0,13.43,0.77,1.54,0.0,279.2,259.0
E1_B9A9_0,24.0,14.39,0.23,0.45999999999999996,0.0,279.2,259.0
E1_B9A9_1,24.0,13.14,0.26,0.52,0.0,279.2,259.0
E1_B9B10_0,72.0,9.84,1.31,2.62,0.0,229.2,209.0
E1_B9B10_1,36.0,12.94,0.39,0.78,0.0,229.2,209.0
E1_B9B8_0,84.0,13.49,0.87,1.7399999999999998,0.0,229.2,209.0
E1_B9B8_1,60.0,11.59,0.74,1.48,0.0,229.2,209.0
E1_C0B0_0,60.0,13.78,0.61,1.22,0.0,279.2,259.0
E1_C0B0_1,12.0,13.62,0.12,0.24,0.0,279.2,259.0
E1_C0C1_0,108.0,11.4,1.47,2.94,0.0,229.2,209.0
E1_C0C1_1,48.0,12.28,0.54,1.08,0.0,229.2,209.0
E1_C0D0_0,36.0,12.12,0.41,0.8199999999999998,0.0,279.2,259.0
E1_C0D0_1,36.0,11.06,0.53,1.06,0.0,279.2,259.0
E1_C0bottom2_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_C0bottom2_1,12.0,9.8,0.17,0.34,0.0,189.6,170.0
E1_C10B10_0,24.0,12.7,0.26,0.52,0.0,279.2,259.0
E1_C10B10_1,48.0,12.89,0.52,1.04,0.0,279.2,259.0
E1_C10C11_0,12.0,14.29,0.12,0.24,0.0,229.2,209.0
E1_C10C11_1,12.0,12.13,0.14,0.28,0.0,229.2,209.0
E1_C10C9_0,96.0,11.72,1.22,2.44,0.0,229.2,209.0
E1_C10C9_1,36.0,10.79,0.53,1.06,0.0,229.2,209.0
E1_C10D10_0,108.0,14.06,1.08,2.16,0.0,279.2,259.0
E1_C10D10_1,36.0,12.58,0.4,0.8,0.0,279.2,259.0
E1_C11B11_0,36.0,10.3,0.55,1.1,0.0,279.2,259.0
E1_C11B11_1,36.0,10.61,0.54,1.08,0.0,279.2,259.0
E1_C11D11_0,96.0,12.29,1.17,2.34,0.0,279.2,259.0
E1_C11D11_1,12.0,12.64,0.13,0.26,0.0,279.2,259.0
E1_C11top2_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_C11top2_1,12.0,12.41,0.13,0.26,0.0,189.6,170.0
E1_C1B1_0,60.0,11.33,0.85,1.6999999999999997,0.0,279.2,259.0
E1_C1B1_1,24.0,10.58,0.32,0.64,0.0,279.2,259.0
E1_C1C0_0,36.0,12.58,0.4,0.8,0.0,229.2,209.0
E1_C1C0_1,48.0,10.0,0.72,1.44,0.0,229.2,209.0
E1_C1C2_0,132.0,10.82,1.95,3.9000000000000004,0.0,229.2,209.0
E1_C1C2_1,48.0,12.09,0.56,1.12,0.0,229.2,209.0
E1_C1D1_0,72.0,12.81,0.78,1.56,0.0,279.2,259.0
E1_C1D1_1,48.0,11.6,0.65,1.3,0.0,279.2,259.0
E1_C2B2_0,84.0,12.73,0.92,1.8399999999999999,0.0,279.2,259.0
E1_C2B2_1,24.0,13.93,0.24,0.48,0.0,279.2,259.0
E1_C2C1_0,60.0,12.94,0.65,1.3,0.0,229.2,209.0
E1_C2C1_1,60.0,13.41,0.63,1.26,0.0,229.2,209.0
E1_C2C3_0,156.0,10.69,6.05,12.1,0.0,229.2,209.0
E1_C2C3_1,84.0,10.12,1.3,2.6,0.0,229.2,209.0
E1_C2D2_0,96.0,12.69,1.06,2.12,0.0,279.2,259.0
E1_C2D2_1,60.0,13.61,0.62,1.24,0.0,279.2,259.0
E1_C3B3_0,48.0,12.54,0.53,1.06,0.0,279.2,259.0
E1_C3B3_1,12.0,13.13,0.13,0.26,0.0,279.2,259.0
E1_C3D3_0,60.0,11.76,0.76,1.52,0.0,279.2,259.0
E1_C3D3_1,36.0,10.77,0.51,1.02,0.0,279.2,259.0
E1_C4B4_0,72.0,10.8,1.05,2.1,0.0,279.2,259.0
E1_C4B4_1,60.0,12.76,0.66,1.32,0.0,279.2,259.0
E1_C4C3_0,72.0,12.43,0.88,1.7599999999999998,0.0,229.2,209.0
E1_C4C3_1,60.0,12.28,0.68,1.36,0.0,229.2,209.0
E1_C4D4_0,120.0,13.22,1.38,2.76,0.0,279.2,259.0
E1_C4D4_1,108.0,9.44,1.77,3.54,0.0,279.2,259.0
E1_C5B5_0,24.0,11.99,0.4,0.8,0.0,279.2,259.0
E1_C5B5_1,36.0,13.94,0.37,0.74,0.0,279.2,259.0
E1_C5C4_0,120.0,12.87,1.3,2.6,0.0,229.2,209.0
E1_C5C4_1,48.0,12.77,0.52,1.04,0.0,229.2,209.0
E1_C5C6_0,108.0,11.33,1.42,2.84,0.0,229.2,209.0
E1_C5C6_1,96.0,10.16,1.49,2.98,0.0,229.2,209.0
E1_C5D5_0,168.0,11.49,2.34,4.68,0.0,279.2,259.0
E1_C5D5_1,60.0,9.72,1.03,2.06,0.0,279.2,259.0
E1_C6C5_0,48.0,11.86,0.56,1.12,0.0,229.2,209.0
E1_C6C5_1,84.0,9.78,1.8,3.5999999999999996,0.0,229.2,209.0
E1_C6C7_0,120.0,11.31,4.59,9.18,0.0,229.2,209.0
E1_C6C7_1,48.0,12.03,0.64,1.28,0.0,229.2,209.0
E1_C6D6_0,108.0,12.34,1.3,2.6,0.0,279.2,259.0
E1_C6D6_1,36.0,12.85,0.39,0.78,0.0,279.2,259.0
E1_C7B7_0,60.0,13.06,0.64,1.28,0.0,279.2,259.0
E1_C7B7_1,72.0,13.55,0.74,1.48,0.0,279.2,259.0
E1_C7C6_0,96.0,12.35,1.17,2.34,0.0,229.2,209.0
E1_C7C6_1,36.0,12.06,0.41,0.8199999999999998,0.0,229.2,209.0
E1_C7D7_0,156.0,11.83,2.95,5.9,0.0,279.2,259.0
E1_C7D7_1,12.0,12.41,0.13,0.26,0.0,279.2,259.0
E1_C8B8_0,96.0,12.16,1.15,2.3,0.0,279.2,259.0
E1_C8B8_1,48.0,12.57,0.53,1.06,0.0,279.2,259.0
E1_C8C7_0,84.0,12.6,0.93,1.8599999999999999,0.0,229.2,209.0
E1_C8C7_1,48.0,13.23,0.51,1.02,0.0,229.2,209.0
E1_C9B9_0,48.0,13.24,0.51,1.02,0.0,279.2,259.0
E1_C9B9_1,84.0,11.81,1.09,2.18,0.0,279.2,259.0
E1_C9C10_0,48.0,10.85,0.67,1.34,0.0,229.2,209.0
E1_C9C10_1,36.0,12.71,0.39,0.78,0.0,229.2,209.0
E1_C9C8_0,108.0,11.77,1.36,2.72,0.0,229.2,209.0
E1_C9C8_1,48.0,12.49,0.69,1.38,0.0,229.2,209.0
E1_C9D9_0,156.0,12.24,4.0,8.0,0.0,279.2,259.0
E1_C9D9_1,72.0,11.97,0.92,1.8399999999999999,0.0,279.2,259.0
E1_D0C0_0,60.0,13.87,0.61,1.22,0.0,279.2,259.0
E1_D0C0_1,24.0,12.16,0.27,0.54,0.0,279.2,259.0
E1_D0D1_0,36.0,13.2,0.38,0.76,0.0,229.2,209.0
E1_D0D1_1,24.0,9.05,0.42,0.8399999999999999,0.0,229.2,209.0
E1_D0E0_0,48.0,13.49,0.5,1.0,0.0,279.2,259.0
E1_D0E0_1,36.0,13.36,0.38,0.76,0.0,279.2,259.0
E1_D0bottom3_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_D0bottom3_1,24.0,14.02,0.24,0.48,0.0,189.6,170.0
E1_D10C10_0,12.0,12.18,0.14,0.28,0.0,279.2,259.0
E1_D10C10_1,36.0,12.71,0.4,0.8,0.0,279.2,259.0
E1_D10D11_0,36.0,13.23,0.38,0.76,0.0,229.2,209.0
E1_D10D11_1,60.0,12.3,0.68,1.36,0.0,229.2,209.0
E1_D10D9_0,108.0,11.35,1.46,2.92,0.0,229.2,209.0
E1_D10D9_1,72.0,12.51,0.89,1.7799999999999998,0.0,229.2,209.0
E1_D11D10_0,108.0,11.92,1.33,2.66,0.0,229.2,209.0
E1_D11D10_1,84.0,12.13,1.04,2.08,0.0,229.2,209.0
E1_D11top3_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_D11top3_1,36.0,12.48,0.4,0.8,0.0,189.6,170.0
E1_D1C1_0,132.0,10.52,3.29,6.58,0.0,279.2,259.0
E1_D1C1_1,12.0,9.83,0.17,0.34,0.0,279.2,259.0
E1_D1D0_0,36.0,12.11,0.41,0.8199999999999998,0.0,229.2,209.0
E1_D1D0_1,48.0,12.46,0.54,1.08,0.0,229.2,209.0
E1_D1D2_0,84.0,12.18,1.04,2.08,0.0,229.2,209.0
E1_D1D2_1,60.0,11.94,0.77,1.54,0.0,229.2,209.0
E1_D1E1_0,72.0,11.22,0.96,1.92,0.0,279.2,259.0
E1_D1E1_1,48.0,11.74,0.57,1.14,0.0,279.2,259.0
E1_D2C2_0,120.0,10.12,4.34,8.68,0.0,279.2,259.0
E1_D2C2_1,48.0,10.57,0.69,1.38,0.0,279.2,259.0
E1_D2D1_0,60.0,13.64,0.62,1.24,0.0,229.2,209.0
E1_D2D1_1,36.0,12.26,0.41,0.8199999999999998,0.0,229.2,209.0
E1_D2D3_0,132.0,12.06,1.68,3.3599999999999994,0.0,229.2,209.0
E1_D2D3_1,36.0,9.87,0.56,1.12,0.0,229.2,209.0
E1_D3D2_0,72.0,11.81,0.93,1.8599999999999999,0.0,229.2,209.0
E1_D3D2_1,48.0,10.57,0.69,1.38,0.0,229.2,209.0
E1_D3D4_0,132.0,11.75,1.67,3.34,0.0,229.2,209.0
E1_D3D4_1,84.0,13.11,0.9,1.7999999999999998,0.0,229.2,209.0
E1_D3E3_0,84.0,11.94,1.06,2.12,0.0,279.2,259.0
E1_D3E3_1,36.0,11.44,0.45,0.8999999999999999,0.0,279.2,259.0
E1_D4C4_0,72.0,10.58,1.07,2.14,0.0,279.2,259.0
E1_D4C4_1,60.0,12.31,0.68,1.36,0.0,279.2,259.0
E1_D4D3_0,48.0,13.79,0.49,0.98,0.0,229.2,209.0
E1_D4D3_1,60.0,12.73,0.84,1.6799999999999997,0.0,229.2,209.0
E1_D4D5_0,108.0,12.63,2.41,4.82,0.0,229.2,209.0
E1_D4D5_1,84.0,12.28,1.03,2.06,0.0,229.2,209.0
E1_D4E4_0,156.0,10.28,5.27,10.54,0.0,279.2,259.0
E1_D4E4_1,24.0,11.82,0.28,0.56,0.0,279.2,259.0
E1_D5C5_0,60.0,12.67,0.66,1.32,0.0,279.2,259.0
E1_D5C5_1,36.0,13.35,0.38,0.76,0.0,279.2,259.0
E1_D5E5_0,84.0,10.86,1.7,3.3999999999999995,0.0,279.2,259.0
E1_D5E5_1,60.0,10.44,0.94,1.88,0.0,279.2,259.0
E1_D6C6_0,108.0,8.32,3.55,7.1,0.0,279.2,259.0
E1_D6C6_1,96.0,7.13,6.48,12.96,0.0,279.2,259.0
E1_D6D5_0,84.0,11.65,4.32,8.64,0.0,229.2,209.0
E1_D6D5_1,96.0,11.24,4.46,8.92,0.0,229.2,209.0
E1_D6D7_0,132.0,12.1,1.68,3.3599999999999994,0.0,229.2,209.0
E1_D6D7_1,60.0,11.54,0.8,1.6,0.0,229.2,209.0
E1_D6E6_0,120.0,9.24,3.72,7.4399999999999995,0.0,279.2,259.0
E1_D6E6_1,36.0,13.2,0.38,0.76,0.0,279.2,259.0
E1_D7C7_0,84.0,10.1,3.19,6.38,0.0,279.2,259.0
E1_D7C7_1,48.0,9.19,0.87,1.7399999999999998,0.0,279.2,259.0
E1_D7D6_0,144.0,10.99,5.32,10.64,0.0,229.2,209.0
E1_D7D6_1,96.0,12.59,3.67,7.34,0.0,229.2,209.0
E1_D7D8_0,108.0,11.4,1.46,2.92,0.0,229.2,209.0
E1_D7D8_1,72.0,11.8,0.92,1.8399999999999999,0.0,229.2,209.0
E1_D7E7_0,84.0,12.32,0.95,1.9,0.0,279.2,259.0
E1_D7E7_1,12.0,11.89,0.14,0.28,0.0,279.2,259.0
E1_D8D7_0,120.0,10.78,5.07,10.14,0.0,229.2,209.0
E1_D8D7_1,60.0,9.59,4.04,8.08,0.0,229.2,209.0
E1_D8E8_0,84.0,10.77,1.21,2.42,0.0,279.2,259.0
E1_D8E8_1,36.0,12.78,0.39,0.78,0.0,279.2,259.0
E1_D9C9_0,60.0,12.22,3.39,6.78,0.0,279.2,259.0
E1_D9C9_1,84.0,13.49,0.9,1.7999999999999998,0.0,279.2,259.0
E1_E0D0_0,72.0,12.51,0.89,1.7799999999999998,0.0,279.2,259.0
E1_E0D0_1,12.0,12.03,0.14,0.28,0.0,279.2,259.0
E1_E0E1_0,60.0,13.45,0.63,1.26,0.0,229.2,209.0
E1_E0E1_1,48.0,10.93,0.68,1.36,0.0,229.2,209.0
E1_E0F0_0,36.0,12.69,0.4,0.8,0.0,279.2,259.0
E1_E0F0_1,48.0,12.63,0.53,1.06,0.0,279.2,259.0
E1_E0bottom4_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_E0bottom4_1,12.0,12.21,0.14,0.28,0.0,189.6,170.0
E1_E10D10_0,36.0,13.02,0.39,0.78,0.0,279.2,259.0
E1_E10D10_1,72.0,11.86,0.86,1.7199999999999998,0.0,279.2,259.0
E1_E10E11_0,24.0,13.66,0.25,0.5,0.0,229.2,209.0
E1_E10E11_1,36.0,10.78,0.53,1.06,0.0,229.2,209.0
E1_E10E9_0,96.0,13.13,1.03,2.06,0.0,229.2,209.0
E1_E10E9_1,24.0,13.03,0.26,0.52,0.0,229.2,209.0
E1_E10F10_0,96.0,12.67,1.14,2.28,0.0,279.2,259.0
E1_E10F10_1,36.0,13.83,0.36,0.72,0.0,279.2,259.0
E1_E11F11_0,108.0,11.95,1.33,2.66,0.0,279.2,259.0
E1_E11F11_1,12.0,11.65,0.14,0.28,0.0,279.2,259.0
E1_E11top4_0,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_E11top4_1,0.0,-1.0,0.0,-0.0,0.0,189.6,170.0
E1_E1D1_0,108.0,11.44,1.39,2.78,0.0,279.2,259.0
E1_E1D1_1,24.0,11.44,0.29,0.58,0.0,279.2,259.0
E1_E1E0_0,36.0,12.27,0.41,0.8199999999999998,0.0,229.2,209.0
E1_E1E0_1,24.0,12.24,0.27,0.54,0.0,229.2,209.0
E1_E1E2_0,96.0,11.51,1.23,2.46,0.0,229.2,209.0
E1_E1E2_1,36.0,10.22,0.55,1.1,0.0,229.2,209.0
E1_E1F1_0,36.0,12.82,0.44,0.8799999999999999,0.0,279.2,259.0
E1_E1F1_1,96.0,10.92,1.35,2.7,0.0,279.2,259.0
E1_E2D2_0,204.0,12.07,4.46,8.92,0.0,279.2,259.0
E1_E2D2_1,48.0,13.31,0.51,1.02,0.0,279.2,259.0
E1_E2E1_0,60.0,10.92,0.84,1.6799999999999997,0.0,229.2,209.0
E1_E2E1_1,36.0,12.45,0.4,0.8,0.0,229.2,209.0
E1_E2E3_0,168.0,11.48,2.26,4.52,0.0,229.2,209.0
E1_E2E3_1,48.0,12.9,0.52,1.04,0.0,229.2,209.0
E1_E2F2_0,72.0,12.91,0.78,1.56,0.0,279.2,259.0
E1_E2F2_1,72.0,11.94,0.87,1.7399999999999998,0.0,279.2,259.0
E1_E3D3_0,84.0,10.38,3.19,6.38,0.0,279.2,259.0
E1_E3D3_1,60.0,12.26,0.77,1.54,0.0,279.2,259.0
E1_E3E2_0,84.0,12.7,0.93,1.8599999999999999,0.0,229.2,209.0
E1_E3E2_1,72.0,12.43,0.81,1.62,0.0,229.2,209.0
E1_E3E4_0,156.0,11.54,2.1,4.2,0.0,229.2,209.0
E1_E3E4_1,36.0,11.48,0.44,0.8799999999999999,0.0,229.2,209.0
E1_E3F3_0,72.0,11.38,1.21,2.42,0.0,279.2,259.0
E1_E3F3_1,72.0,14.1,0.72,1.44,0.0,279.2,259.0
E1_E4D4_0,96.0,11.82,1.21,2.42,0.0,279.2,259.0
E1_E4D4_1,36.0,11.76,0.43,0.8599999999999999,0.0,279.2,259.0
E1_E4E5_0,132.0,12.58,1.49,2.98,0.0,229.2,209.0
E1_E4E5_1,72.0,11.29,0.95,1.9,0.0,229.2,209.0
E1_E4F4_0,84.0,13.84,0.85,1.6999999999999997,0.0,279.2,259.0
E1_E4F4_1,96.0,11.94,1.22,2.44,0.0,279.2,259.0
E1_E5E4_0,84.0,12.51,0.94,1.88,0.0,229.2,209.0
E1_E5E4_1,24.0,12.01,0.28,0.56,0.0,229.2,209.0
E1_E5F5_0,120.0,12.71,1.4,2.8,0.0,279.2,259.0
E1_E5F5_1,72.0,13.68,0.73,1.46,0.0,279.2,259.0
E1_E6D6_0,120.0,10.68,1.84,3.6799999999999997,0.0,279.2,259.0
E1_E6D6_1,72.0,10.29,1.13,2.26,0.0,279.2,259.0
E1_E6E7_0,108.0,11.94,1.34,2.68,0.0,229.2,209.0
E1_E6E7_1,24.0,13.05,0.26,0.52,0.0,229.2,209.0
